"tmax","tmin","streamflow","snowpack","precip","direct_solar","diffuse_solar","plant_carbon","NPP","transpiration","evaporation","day","month","year","wy","yd"
19.054176,5.619196,0,0,0,8879.341223,6817.416221,0.209751,0,0,0,1,10,1955,1956,274
19.5682,6.108201,0,0,0,8914.570335,6815.638439,0.209394,0,0,0,2,10,1955,1956,275
19.18555,7.592998,0,0,0,6350.763854,6759.436273,0.209042,0,0,0,3,10,1955,1956,276
16.478501,4.281697,0,0,0.001,7159.798191,6822.247886,0.208695,0,0,0,4,10,1955,1956,277
16.095851,2.299004,0,0,0.007,9389.503319,6785.862881,0.20835,0,0,0,5,10,1955,1956,278
15.713202,0.823098,0,0,0.013,10924.537796,6622.572705,0.208015,0,0,0,6,10,1955,1956,279
17.654952,5.619196,0,0,0,6117.201177,6325.034543,0.207693,0,0,0.00022,7,10,1955,1956,280
14.947903,2.7969,0,0,0.005,6260.615549,6337.139372,0.207386,0,0,0,8,10,1955,1956,281
16.889653,3.636503,0,0,0,7669.90607,6377.995243,0.207081,0,0,0.000218,9,10,1955,1956,282
16.507003,4.134399,0,0,0,6538.87036,6356.087395,0.206787,0,0,0,10,10,1955,1956,283
16.124354,4.623404,0,0,0,5465.005091,6248.094094,0.206498,0,0,0,11,10,1955,1956,284
13.417304,1.809999,0,0,0.003,5592.820928,6266.162012,0.206214,0,0,0,12,10,1955,1956,285
15.359055,-0.808997,0,0,0,11436.088717,5980.022557,0.205934,0,0,0.000216,13,10,1955,1956,286
14.976405,0.6758,0,0,0,9041.804127,6305.465449,0.205664,0,0,0,14,10,1955,1956,287
14.593756,2.160597,0,0,0,5737.983484,5860.134974,0.205406,0,0,0,15,10,1955,1956,288
14.211106,2.649602,0,0,0,4761.63255,5734.748317,0.286243,0,0,0,16,10,1955,1956,289
13.828457,3.636503,0,0,0,3372.74414,5358.506772,0.285996,0,0,0,17,10,1955,1956,290
13.445807,3.636503,0,0,0,3023.849392,5213.726879,0.285754,0,0,0,18,10,1955,1956,291
12.426938,3.147498,0,0,0,2572.539244,4985.61328,0.285516,0,0,0,19,10,1955,1956,292
14.9787,2.160597,0,0,0,6185.694216,5888.895714,0.285282,0,0,0,20,10,1955,1956,293
17.530462,3.636503,0,0,0,7470.109984,5891.184366,0.285053,0,0,0,21,10,1955,1956,294
18.549331,4.623404,0,0,0,7508.715319,5889.638918,0.284827,0,0,0,22,10,1955,1956,295
18.549331,4.134399,0,0,0,7011.780168,5402.609506,0.284598,0,0,0,23,10,1955,1956,296
16.511593,2.160597,0,0,0,6941.20964,5405.870792,0.284366,0,0,0,24,10,1955,1956,297
2.961276,-9.054803,0,0.011644,0.016,4450.83263,5277.873508,0.284131,0,0,0,25,10,1955,1956,298
3.761962,-5.254497,0,0.011414,0,1914.003293,4284.890478,0.283897,0,0,0.00023,26,10,1955,1956,299
12.426938,1.173696,0,0,0,3712.89648,5116.377503,0.283692,0,0,0,27,10,1955,1956,300
13.959831,1.173696,0,0,0,5242.876161,5378.008146,0.283507,0,0,0.000209,28,10,1955,1956,301
3.761962,-4.756601,0,0,0,1599.432103,4034.332905,0.283324,0,0,0,29,10,1955,1956,302
-1.1142,-8.565798,0,0.001997,0.004,1035.937975,3436.847842,0.283141,0,0,0,30,10,1955,1956,303
3.761962,-4.267596,0,0.001838,0,1018.450211,3231.669508,0.282973,0,0,0.000159,31,10,1955,1956,304
5.513038,-6.591996,0,0.022333,0.035,1557.97593,3796.325103,0.282826,0,0,0.000152,1,11,1955,1956,305
5.285676,-6.241398,0,0.022029,0,3305.54761,4698.565573,0.282689,0,0,0.000304,2,11,1955,1956,306
3.761962,-6.730403,0,0.014176,0,2483.846841,4385.13022,0.28256,0,0,0,3,11,1955,1956,307
7.837438,-2.284903,0,0.00188,0,2218.489463,4247.843555,0.28244,0,0,0,4,11,1955,1956,308
7.837438,-2.782799,0,0,0,2579.181177,4429.571397,0.282327,0,0,0,5,11,1955,1956,309
